"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 17 11:08:21 GMT 2026","Wed Jun 17 11:08:23 GMT 2026","1453","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user roles",""
"passed","Wed Jun 17 11:08:12 GMT 2026","Wed Jun 17 11:08:18 GMT 2026","6312","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [1] STUDENT",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","324","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithDuplicateEmail","Guest cannot register with duplicate email",""
"passed","Wed Jun 17 11:08:21 GMT 2026","Wed Jun 17 11:08:22 GMT 2026","679","","users.UserCreationTests","","users.UserCreationTests","userWithoutAdminRoleCannotCreateUser","User without admin role cannot create user [2] MENTOR",""
"passed","Wed Jun 17 11:08:22 GMT 2026","Wed Jun 17 11:08:23 GMT 2026","780","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [1] STUDENT",""
"passed","Wed Jun 17 11:08:18 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","317","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [2] MENTOR",""
"passed","Wed Jun 17 11:08:23 GMT 2026","Wed Jun 17 11:08:24 GMT 2026","1505","","users.UserEditTests","","users.UserEditTests","adminCannotUpdateUserWithDuplicateEmail","Admin cannot update user with duplicate email",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:20 GMT 2026","813","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanRetryCreateOfferWithSameIdempotencyKey","Mentor can safely retry offer creation with idempotency key",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","135","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithMultipleRoles","Guest cannot register with multiple roles",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","64","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterAdminUser","Guest cannot register admin user",""
"passed","Wed Jun 17 11:08:17 GMT 2026","Wed Jun 17 11:08:17 GMT 2026","507","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithExpiredToken","User cannot create offer with expired token",""
"passed","Wed Jun 17 11:08:09 GMT 2026","Wed Jun 17 11:08:17 GMT 2026","7863","","framework.RestAssuredConnectorServerErrorTests","","framework.RestAssuredConnectorServerErrorTests","connectorRetriesAndReturnsServerError","Connector retries and returns server error",""
"passed","Wed Jun 17 11:08:24 GMT 2026","Wed Jun 17 11:08:26 GMT 2026","1491","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [2] MENTOR",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","55","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without first name",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","56","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithWeakPassword","Guest cannot register with weak password",""
"passed","Wed Jun 17 11:08:20 GMT 2026","Wed Jun 17 11:08:20 GMT 2026","53","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithMalformedToken","User cannot create offer with malformed token",""
"passed","Wed Jun 17 11:08:26 GMT 2026","Wed Jun 17 11:08:27 GMT 2026","842","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create student user",""
"passed","Wed Jun 17 11:08:24 GMT 2026","Wed Jun 17 11:08:26 GMT 2026","1613","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUsersList","Admin can get users list",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","44","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without email and password",""
"passed","Wed Jun 17 11:08:18 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","1077","","login.LoginTests","","login.LoginTests","inactiveUserCannotLogin","Inactive user cannot login",""
"passed","Wed Jun 17 11:08:20 GMT 2026","Wed Jun 17 11:08:21 GMT 2026","1330","","users.UserAccessTests","","users.UserAccessTests","adminCanSeeInactiveUserInUsersList","Admin can see inactive user in users list",""
"passed","Wed Jun 17 11:08:17 GMT 2026","Wed Jun 17 11:08:17 GMT 2026","21","","offer.OfferCreationTests","","offer.OfferCreationTests","guestCannotCreateOfferWithoutToken","Guest cannot create offer without token",""
"passed","Wed Jun 17 11:08:09 GMT 2026","Wed Jun 17 11:08:17 GMT 2026","8372","","login.LoginTests","","login.LoginTests","guestCanLoginWithNormalizedEmail","Guest can login with normalized email",""
"passed","Wed Jun 17 11:08:25 GMT 2026","Wed Jun 17 11:08:26 GMT 2026","1119","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create mentor user",""
"passed","Wed Jun 17 11:08:18 GMT 2026","Wed Jun 17 11:08:20 GMT 2026","1241","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user email",""
"passed","Wed Jun 17 11:08:23 GMT 2026","Wed Jun 17 11:08:24 GMT 2026","1618","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUserByPublicId","Admin can get user by public id",""
"passed","Wed Jun 17 11:08:20 GMT 2026","Wed Jun 17 11:08:21 GMT 2026","1488","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user status",""
"passed","Wed Jun 17 11:08:26 GMT 2026","Wed Jun 17 11:08:28 GMT 2026","1605","","ui.LoginUITests","","ui.LoginUITests","loggedInUserNameIsShownInHeader","Logged in user name is shown in header",""
"passed","Wed Jun 17 11:08:17 GMT 2026","Wed Jun 17 11:08:18 GMT 2026","547","","login.LoginTests","","login.LoginTests","guestCannotLoginWithWrongPassword","Guest cannot login with wrong password",""
"passed","Wed Jun 17 11:08:09 GMT 2026","Wed Jun 17 11:08:15 GMT 2026","6207","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithInvalidTokenSignature","User cannot create offer with invalid token signature",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","49","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without email",""
"passed","Wed Jun 17 11:08:09 GMT 2026","Wed Jun 17 11:08:17 GMT 2026","7948","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user first name",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","118","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without email",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","49","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without last name",""
"passed","Wed Jun 17 11:08:20 GMT 2026","Wed Jun 17 11:08:21 GMT 2026","419","","login.LoginTests","","login.LoginTests","guestCannotLoginWithEmailHavingLeadingOrTrailingSpaces","Guest cannot login with email having leading or trailing spaces",""
"passed","Wed Jun 17 11:08:20 GMT 2026","Wed Jun 17 11:08:24 GMT 2026","4250","","ui.LoginUITests","","ui.LoginUITests","studentCanLoginFromUi","Student can login from UI",""
"passed","Wed Jun 17 11:08:24 GMT 2026","Wed Jun 17 11:08:27 GMT 2026","3001","","ui.LoginUITests","","ui.LoginUITests","guestSeesLoginErrorForWrongPassword","Guest sees login error for wrong password",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","87","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without password",""
"passed","Wed Jun 17 11:08:20 GMT 2026","Wed Jun 17 11:08:20 GMT 2026","109","","login.LoginTests","","login.LoginTests","guestCannotLoginWithWhitespaceOnlyCredentials","Guest cannot login with whitespace only credentials",""
"passed","Wed Jun 17 11:08:21 GMT 2026","Wed Jun 17 11:08:22 GMT 2026","618","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [2] MENTOR",""
"passed","Wed Jun 17 11:08:17 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","1545","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanCreateOffer","Mentor can create offer",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:20 GMT 2026","80","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without password",""
"passed","Wed Jun 17 11:08:17 GMT 2026","Wed Jun 17 11:08:18 GMT 2026","1363","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user last name",""
"passed","Wed Jun 17 11:08:20 GMT 2026","Wed Jun 17 11:08:20 GMT 2026","307","","register.RegisterTests","","register.RegisterTests","guestCanRegisterWithNormalizedEmail","Guest can register with normalized email",""
"passed","Wed Jun 17 11:08:22 GMT 2026","Wed Jun 17 11:08:22 GMT 2026","816","","users.UserCreationTests","","users.UserCreationTests","userWithoutAdminRoleCannotCreateUser","User without admin role cannot create user [1] STUDENT",""
"passed","Wed Jun 17 11:08:24 GMT 2026","Wed Jun 17 11:08:25 GMT 2026","921","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create admin user",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:19 GMT 2026","54","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without roles",""
"passed","Wed Jun 17 11:08:26 GMT 2026","Wed Jun 17 11:08:27 GMT 2026","1073","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [1] STUDENT",""
"passed","Wed Jun 17 11:08:20 GMT 2026","Wed Jun 17 11:08:20 GMT 2026","728","","login.LoginTests","","login.LoginTests","guestCanLoginAfterSuccessfulRegistration","Guest can login after successful registration",""
"passed","Wed Jun 17 11:08:22 GMT 2026","Wed Jun 17 11:08:24 GMT 2026","1600","","users.UserCreationTests","","users.UserCreationTests","adminCannotCreateUserWithDuplicateEmail","Admin cannot create user with duplicate email",""
"passed","Wed Jun 17 11:08:16 GMT 2026","Wed Jun 17 11:08:17 GMT 2026","585","","offer.OfferCreationTests","","offer.OfferCreationTests","userWithoutMentorRoleCannotCreateOffer","User without mentor role cannot create offer [2] ADMIN",""
"passed","Wed Jun 17 11:08:15 GMT 2026","Wed Jun 17 11:08:16 GMT 2026","634","","offer.OfferCreationTests","","offer.OfferCreationTests","userWithoutMentorRoleCannotCreateOffer","User without mentor role cannot create offer [1] STUDENT",""
"passed","Wed Jun 17 11:08:19 GMT 2026","Wed Jun 17 11:08:20 GMT 2026","214","","login.LoginTests","","login.LoginTests","guestCannotLoginWithUnknownEmail","Guest cannot login with unknown email",""
"passed","Wed Jun 17 11:08:17 GMT 2026","Wed Jun 17 11:08:24 GMT 2026","6978","","ui.CatalogUITests","","ui.CatalogUITests","guestSeesActiveOfferInCatalog","Guest sees active offer in catalog",""
"passed","Wed Jun 17 11:08:24 GMT 2026","Wed Jun 17 11:08:26 GMT 2026","2143","","ui.CatalogUITests","","ui.CatalogUITests","guestCanOpenCatalog","Guest can open catalog",""
