"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 23 06:50:47 GMT 2026","Sun Aug 23 06:50:55 GMT 2026","7669","","framework.RestAssuredConnectorServerErrorTests","","framework.RestAssuredConnectorServerErrorTests","connectorRetriesAndReturnsServerError","Connector retries and returns server error",""
"passed","Sun Aug 23 06:51:03 GMT 2026","Sun Aug 23 06:51:05 GMT 2026","1651","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [2] MENTOR",""
"passed","Sun Aug 23 06:50:57 GMT 2026","Sun Aug 23 06:50:57 GMT 2026","231","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [2] MENTOR",""
"passed","Sun Aug 23 06:51:00 GMT 2026","Sun Aug 23 06:51:01 GMT 2026","862","","users.UserCreationTests","","users.UserCreationTests","userWithoutAdminRoleCannotCreateUser","User without admin role cannot create user [1] STUDENT",""
"passed","Sun Aug 23 06:51:02 GMT 2026","Sun Aug 23 06:51:03 GMT 2026","1255","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUserByPublicId","Admin can get user by public id",""
"passed","Sun Aug 23 06:50:56 GMT 2026","Sun Aug 23 06:50:56 GMT 2026","491","","login.LoginTests","","login.LoginTests","guestCannotLoginWithWrongPassword","Guest cannot login with wrong password",""
"passed","Sun Aug 23 06:50:55 GMT 2026","Sun Aug 23 06:51:01 GMT 2026","6756","","ui.CatalogUITests","","ui.CatalogUITests","guestSeesActiveOfferInCatalog","Guest sees active offer in catalog",""
"passed","Sun Aug 23 06:50:58 GMT 2026","Sun Aug 23 06:50:58 GMT 2026","67","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without first name",""
"passed","Sun Aug 23 06:51:01 GMT 2026","Sun Aug 23 06:51:04 GMT 2026","2566","","ui.CatalogUITests","","ui.CatalogUITests","guestCanOpenCatalog","Guest can open catalog",""
"passed","Sun Aug 23 06:51:05 GMT 2026","Sun Aug 23 06:51:06 GMT 2026","1377","","ui.LoginUITests","","ui.LoginUITests","loggedInUserNameIsShownInHeader","Logged in user name is shown in header",""
"passed","Sun Aug 23 06:50:59 GMT 2026","Sun Aug 23 06:51:00 GMT 2026","535","","login.LoginTests","","login.LoginTests","guestCannotLoginWithEmailHavingLeadingOrTrailingSpaces","Guest cannot login with email having leading or trailing spaces",""
