"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 29 11:12:04 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","1246","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user email",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","47","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without first name",""
"passed","Mon Jun 29 11:12:04 GMT 2026","Mon Jun 29 11:12:04 GMT 2026","264","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [2] MENTOR",""
"passed","Mon Jun 29 11:12:03 GMT 2026","Mon Jun 29 11:12:04 GMT 2026","1373","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user last name",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:06 GMT 2026","300","","login.LoginTests","","login.LoginTests","guestCannotLoginWithEmailHavingLeadingOrTrailingSpaces","Guest cannot login with email having leading or trailing spaces",""
"passed","Mon Jun 29 11:12:04 GMT 2026","Mon Jun 29 11:12:04 GMT 2026","73","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without password",""
"passed","Mon Jun 29 11:12:11 GMT 2026","Mon Jun 29 11:12:13 GMT 2026","1597","","ui.LoginUITests","","ui.LoginUITests","loggedInUserNameIsShownInHeader","Logged in user name is shown in header",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","68","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without password",""
"passed","Mon Jun 29 11:12:07 GMT 2026","Mon Jun 29 11:12:09 GMT 2026","1570","","users.UserCreationTests","","users.UserCreationTests","adminCannotCreateUserWithDuplicateEmail","Admin cannot create user with duplicate email",""
"passed","Mon Jun 29 11:12:04 GMT 2026","Mon Jun 29 11:12:04 GMT 2026","48","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterAdminUser","Guest cannot register admin user",""
"passed","Mon Jun 29 11:12:09 GMT 2026","Mon Jun 29 11:12:10 GMT 2026","976","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create admin user",""
"passed","Mon Jun 29 11:12:04 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","786","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanRetryCreateOfferWithSameIdempotencyKey","Mentor can safely retry offer creation with idempotency key",""
"passed","Mon Jun 29 11:12:07 GMT 2026","Mon Jun 29 11:12:07 GMT 2026","709","","users.UserCreationTests","","users.UserCreationTests","userWithoutAdminRoleCannotCreateUser","User without admin role cannot create user [1] STUDENT",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","283","","login.LoginTests","","login.LoginTests","guestCannotLoginWithUnknownEmail","Guest cannot login with unknown email",""
"passed","Mon Jun 29 11:12:02 GMT 2026","Mon Jun 29 11:12:02 GMT 2026","595","","offer.OfferCreationTests","","offer.OfferCreationTests","userWithoutMentorRoleCannotCreateOffer","User without mentor role cannot create offer [2] ADMIN",""
"passed","Mon Jun 29 11:11:57 GMT 2026","Mon Jun 29 11:12:04 GMT 2026","6540","","register.RegisterTests","","register.RegisterTests","guestCanRegisterUser","Guest can register user [1] STUDENT",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","65","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithMalformedToken","User cannot create offer with malformed token",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:07 GMT 2026","1523","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user roles",""
"passed","Mon Jun 29 11:11:55 GMT 2026","Mon Jun 29 11:12:03 GMT 2026","7886","","framework.RestAssuredConnectorServerErrorTests","","framework.RestAssuredConnectorServerErrorTests","connectorRetriesAndReturnsServerError","Connector retries and returns server error",""
"passed","Mon Jun 29 11:12:04 GMT 2026","Mon Jun 29 11:12:04 GMT 2026","67","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithWeakPassword","Guest cannot register with weak password",""
"passed","Mon Jun 29 11:12:02 GMT 2026","Mon Jun 29 11:12:02 GMT 2026","23","","offer.OfferCreationTests","","offer.OfferCreationTests","guestCannotCreateOfferWithoutToken","Guest cannot create offer without token",""
"passed","Mon Jun 29 11:12:04 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","64","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without email and password",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","272","","register.RegisterTests","","register.RegisterTests","guestCanRegisterWithNormalizedEmail","Guest can register with normalized email",""
"passed","Mon Jun 29 11:12:10 GMT 2026","Mon Jun 29 11:12:11 GMT 2026","1090","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create mentor user",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:09 GMT 2026","3995","","ui.LoginUITests","","ui.LoginUITests","studentCanLoginFromUi","Student can login from UI",""
"passed","Mon Jun 29 11:12:02 GMT 2026","Mon Jun 29 11:12:03 GMT 2026","583","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithExpiredToken","User cannot create offer with expired token",""
"passed","Mon Jun 29 11:12:04 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","251","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithDuplicateEmail","Guest cannot register with duplicate email",""
"passed","Mon Jun 29 11:12:03 GMT 2026","Mon Jun 29 11:12:10 GMT 2026","7125","","ui.CatalogUITests","","ui.CatalogUITests","guestSeesActiveOfferInCatalog","Guest sees active offer in catalog",""
"passed","Mon Jun 29 11:12:10 GMT 2026","Mon Jun 29 11:12:11 GMT 2026","1353","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUsersList","Admin can get users list",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","511","","login.LoginTests","","login.LoginTests","guestCanLoginAfterSuccessfulRegistration","Guest can login after successful registration",""
"passed","Mon Jun 29 11:12:03 GMT 2026","Mon Jun 29 11:12:04 GMT 2026","1378","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanCreateOffer","Mentor can create offer",""
"passed","Mon Jun 29 11:12:09 GMT 2026","Mon Jun 29 11:12:11 GMT 2026","1996","","ui.CatalogUITests","","ui.CatalogUITests","guestCanOpenCatalog","Guest can open catalog",""
"passed","Mon Jun 29 11:12:03 GMT 2026","Mon Jun 29 11:12:04 GMT 2026","499","","login.LoginTests","","login.LoginTests","guestCannotLoginWithWrongPassword","Guest cannot login with wrong password",""
"passed","Mon Jun 29 11:12:07 GMT 2026","Mon Jun 29 11:12:07 GMT 2026","706","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [2] MENTOR",""
"passed","Mon Jun 29 11:12:08 GMT 2026","Mon Jun 29 11:12:10 GMT 2026","1673","","users.UserAccessTests","","users.UserAccessTests","adminCanGetUserByPublicId","Admin can get user by public id",""
"passed","Mon Jun 29 11:12:01 GMT 2026","Mon Jun 29 11:12:02 GMT 2026","596","","offer.OfferCreationTests","","offer.OfferCreationTests","userWithoutMentorRoleCannotCreateOffer","User without mentor role cannot create offer [1] STUDENT",""
"passed","Mon Jun 29 11:12:04 GMT 2026","Mon Jun 29 11:12:04 GMT 2026","65","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithMultipleRoles","Guest cannot register with multiple roles",""
"passed","Mon Jun 29 11:12:11 GMT 2026","Mon Jun 29 11:12:12 GMT 2026","929","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [1] STUDENT",""
"passed","Mon Jun 29 11:12:06 GMT 2026","Mon Jun 29 11:12:07 GMT 2026","920","","users.UserCreationTests","","users.UserCreationTests","userWithoutAdminRoleCannotCreateUser","User without admin role cannot create user [2] MENTOR",""
"passed","Mon Jun 29 11:12:09 GMT 2026","Mon Jun 29 11:12:12 GMT 2026","2790","","ui.LoginUITests","","ui.LoginUITests","guestSeesLoginErrorForWrongPassword","Guest sees login error for wrong password",""
"passed","Mon Jun 29 11:12:10 GMT 2026","Mon Jun 29 11:12:11 GMT 2026","1386","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUserByPublicId","User without admin role cannot get other user by public id [2] MENTOR",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","30","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without last name",""
"passed","Mon Jun 29 11:12:11 GMT 2026","Mon Jun 29 11:12:12 GMT 2026","660","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create student user",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","40","","login.LoginTests","","login.LoginTests","guestCannotLoginWithWhitespaceOnlyCredentials","Guest cannot login with whitespace only credentials",""
"passed","Mon Jun 29 11:11:55 GMT 2026","Mon Jun 29 11:12:01 GMT 2026","6273","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithInvalidTokenSignature","User cannot create offer with invalid token signature",""
"passed","Mon Jun 29 11:11:55 GMT 2026","Mon Jun 29 11:12:03 GMT 2026","7936","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user first name",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","32","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without roles",""
"passed","Mon Jun 29 11:12:07 GMT 2026","Mon Jun 29 11:12:08 GMT 2026","1224","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user status",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:05 GMT 2026","64","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without email",""
"passed","Mon Jun 29 11:12:04 GMT 2026","Mon Jun 29 11:12:04 GMT 2026","735","","login.LoginTests","","login.LoginTests","inactiveUserCannotLogin","Inactive user cannot login",""
"passed","Mon Jun 29 11:12:04 GMT 2026","Mon Jun 29 11:12:04 GMT 2026","96","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without email",""
"passed","Mon Jun 29 11:12:08 GMT 2026","Mon Jun 29 11:12:09 GMT 2026","1223","","users.UserEditTests","","users.UserEditTests","adminCannotUpdateUserWithDuplicateEmail","Admin cannot update user with duplicate email",""
"passed","Mon Jun 29 11:12:05 GMT 2026","Mon Jun 29 11:12:07 GMT 2026","1360","","users.UserAccessTests","","users.UserAccessTests","adminCanSeeInactiveUserInUsersList","Admin can see inactive user in users list",""
