"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 31 13:14:21 GMT 2026","Mon Aug 31 13:14:22 GMT 2026","1592","","users.UserCreationTests","","users.UserCreationTests","adminCannotCreateUserWithDuplicateEmail","Admin cannot create user with duplicate email",""
"passed","Mon Aug 31 13:14:19 GMT 2026","Mon Aug 31 13:14:20 GMT 2026","704","","users.UserCreationTests","","users.UserCreationTests","userWithoutAdminRoleCannotCreateUser","User without admin role cannot create user [2] MENTOR",""
"passed","Mon Aug 31 13:14:17 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","802","","login.LoginTests","","login.LoginTests","inactiveUserCannotLogin","Inactive user cannot login",""
"passed","Mon Aug 31 13:14:15 GMT 2026","Mon Aug 31 13:14:15 GMT 2026","414","","offer.OfferCreationTests","","offer.OfferCreationTests","userWithoutMentorRoleCannotCreateOffer","User without mentor role cannot create offer [2] ADMIN",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","50","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithWeakPassword","Guest cannot register with weak password",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","49","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without password",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:20 GMT 2026","1417","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user roles",""
"passed","Mon Aug 31 13:14:22 GMT 2026","Mon Aug 31 13:14:26 GMT 2026","3219","","ui.LoginUITests","","ui.LoginUITests","guestSeesLoginErrorForWrongPassword","Guest sees login error for wrong password",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","50","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without last name",""
"passed","Mon Aug 31 13:14:22 GMT 2026","Mon Aug 31 13:14:23 GMT 2026","1280","","users.UserEditTests","","users.UserEditTests","adminCannotUpdateUserWithDuplicateEmail","Admin cannot update user with duplicate email",""
"passed","Mon Aug 31 13:14:15 GMT 2026","Mon Aug 31 13:14:15 GMT 2026","42","","offer.OfferCreationTests","","offer.OfferCreationTests","guestCannotCreateOfferWithoutToken","Guest cannot create offer without token",""
"passed","Mon Aug 31 13:14:16 GMT 2026","Mon Aug 31 13:14:17 GMT 2026","1549","","offer.OfferCreationTests","","offer.OfferCreationTests","mentorCanCreateOffer","Mentor can create offer",""
"passed","Mon Aug 31 13:14:25 GMT 2026","Mon Aug 31 13:14:26 GMT 2026","1831","","ui.LoginUITests","","ui.LoginUITests","loggedInUserNameIsShownInHeader","Logged in user name is shown in header",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","48","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without email",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","280","","login.LoginTests","","login.LoginTests","guestCannotLoginWithUnknownEmail","Guest cannot login with unknown email",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","62","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without email and password",""
"passed","Mon Aug 31 13:14:19 GMT 2026","Mon Aug 31 13:14:19 GMT 2026","399","","login.LoginTests","","login.LoginTests","guestCannotLoginWithEmailHavingLeadingOrTrailingSpaces","Guest cannot login with email having leading or trailing spaces",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","41","","offer.OfferCreationTests","","offer.OfferCreationTests","userCannotCreateOfferWithMalformedToken","User cannot create offer with malformed token",""
"passed","Mon Aug 31 13:14:23 GMT 2026","Mon Aug 31 13:14:25 GMT 2026","2517","","ui.CatalogUITests","","ui.CatalogUITests","guestCanOpenCatalog","Guest can open catalog",""
"passed","Mon Aug 31 13:14:21 GMT 2026","Mon Aug 31 13:14:22 GMT 2026","765","","users.UserAccessTests","","users.UserAccessTests","userWithoutAdminRoleCannotGetUsersList","User without admin role cannot get users list [1] STUDENT",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","34","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithoutRequiredFields","Guest cannot register without required fields Register user without first name",""
"passed","Mon Aug 31 13:14:22 GMT 2026","Mon Aug 31 13:14:23 GMT 2026","873","","users.UserCreationTests","","users.UserCreationTests","adminCanCreateUser","Admin can create user Create admin user",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","108","","login.LoginTests","","login.LoginTests","guestCannotLoginWithoutRequiredFields","Guest cannot login without required fields Login without email",""
"passed","Mon Aug 31 13:14:08 GMT 2026","Mon Aug 31 13:14:16 GMT 2026","7983","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user first name",""
"passed","Mon Aug 31 13:14:08 GMT 2026","Mon Aug 31 13:14:16 GMT 2026","8353","","login.LoginTests","","login.LoginTests","guestCanLoginWithNormalizedEmail","Guest can login with normalized email",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:22 GMT 2026","4251","","ui.LoginUITests","","ui.LoginUITests","studentCanLoginFromUi","Student can login from UI",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","42","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterAdminUser","Guest cannot register admin user",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","337","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithDuplicateEmail","Guest cannot register with duplicate email",""
"passed","Mon Aug 31 13:14:16 GMT 2026","Mon Aug 31 13:14:23 GMT 2026","6757","","ui.CatalogUITests","","ui.CatalogUITests","guestSeesActiveOfferInCatalog","Guest sees active offer in catalog",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:19 GMT 2026","628","","login.LoginTests","","login.LoginTests","guestCanLoginAfterSuccessfulRegistration","Guest can login after successful registration",""
"passed","Mon Aug 31 13:14:20 GMT 2026","Mon Aug 31 13:14:21 GMT 2026","1578","","users.UserEditTests","","users.UserEditTests","adminCanUpdateUser","Admin can update user Update user status",""
"passed","Mon Aug 31 13:14:18 GMT 2026","Mon Aug 31 13:14:18 GMT 2026","24","","register.RegisterTests","","register.RegisterTests","guestCannotRegisterWithMultipleRoles","Guest cannot register with multiple roles",""
